,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,salary
thornal01,"December 7, 1983","Perry, Georgia",1.2,45.2,29.3,74.7,296,12.3,11.9,4.2,6.1,46.5,Florida State University,14th overall,1st round,Los Angeles Clippers,2007,6-8,"Perry in Perry, Georgia",Al Thornton,Small Forward and Power Forward,Right,220lb,8142916.0
thornbo01,"July 10, 1962","Los Angeles, California",0.3,44.4,22.2,55.8,283,6.2,3.0,2.5,1.3,44.6,"University of California, Irvine",87th overall,4th round,New York Knicks,1984,6-10,"Mission Viejo in Mission Viejo, California",Bob Thornton,Power Forward,Right,225lb,1145000.0
thornma01,"June 5, 1987","Baton Rouge, Louisiana",1.4,42.5,35.8,83.0,483,15.5,11.9,2.8,20.0,49.8,Louisiana State University,43rd overall,2nd round,Miami Heat,2009,6-4,"Tara in Baton Rouge, Louisiana",Marcus Thornton,Shooting Guard,Right,205lb,35122638.0
thornsi01,"November 15, 1994","Lancaster, South Carolina",0.6,41.5,34.2,68.9,137,7.6,2.5,1.3,1.0,46.1,University of South Carolina,48th overall,2nd round,Milwaukee Bucks,2017,6-5,"Oak Hill Academy in Mouth of Wilson, Virginia",Sindarius Thornwell,Shooting Guard,Right,215lb,815615.0
thorpot01,"August 5, 1962","Boynton Beach, Florida",2.2,54.6,4.7,68.7,1257,16.0,14.0,8.2,106.4,54.6,Providence College,9th overall,1st round,Kansas City Kings,1984,6-9,"Lake Worth Community in Lake Worth, Florida",Otis Thorpe,Center and Power Forward,Right,225lb,37611400.0
threase01,"September 10, 1961","Atlanta, Georgia",3.8,48.5,29.3,81.5,951,14.7,9.8,1.8,48.0,49.6,West Virginia University Institute of Technology,139th overall,6th round,Philadelphia 76ers,1983,6-2,"Therrell in Atlanta, Georgia",Sedale Threatt,Point Guard and Shooting Guard,Right,175lb,9994000.0
tinslja01,"February 28, 1978","Brooklyn, New York",6.1,39.3,29.9,71.6,547,13.6,8.5,2.9,17.2,43.7,Iowa State University,27th overall,1st round,Memphis Grizzlies,2001,6-3,"Samuel J. Tilden in Brooklyn, New York",Jamaal Tinsley,Point Guard,Right,195lb,39960706.0
tisdawa01,"June 9, 1964","Tulsa, Oklahoma",1.3,50.5,0.0,76.0,840,15.7,15.3,6.1,45.7,50.5,University of Oklahoma,2nd overall,1st round,Indiana Pacers,1985,6-9,"Booker T. Washington in Tulsa, Oklahoma",Wayman Tisdale,Power Forward,Left,240lb,22616000.0
tolbera01,"September 10, 1958","Anderson, Indiana",0.5,49.5,0.0,54.4,261,9.8,3.6,2.3,2.9,49.5,Indiana University,18th overall,1st round,New Jersey Nets,1981,6-9,"Madison Heights in Anderson, Indiana",Ray Tolbert,Power Forward,Right,225lb,100000.0
tolbeto01,"October 16, 1965","Long Beach, California",0.9,46.0,29.6,71.6,312,10.5,6.5,4.0,6.6,46.8,"University of California, Irvine, University of Arizona",34th overall,2nd round,Charlotte Hornets,1988,6-7,"Artesia HS in Lakewood, California",Tom Tolbert,Power Forward and Small Forward,Right,235lb,2642000.0
toneyan01,"November 23, 1957","Birmingham, Alabama",4.2,50.0,34.2,79.7,468,16.1,15.9,2.2,26.9,51.2,University of Louisiana at Lafayette,8th overall,1st round,Philadelphia 76ers,1980,6-3,"Glenn in Birmingham, Alabama",Andrew Toney,Shooting Guard,Right,178lb,2880000.0
toneyse01,"April 13, 1962","Columbus, Mississippi",2.1,36.5,34.1,78.1,112,7.8,3.7,0.9,0.0,40.6,University of Dayton,59th overall,3rd round,Atlanta Hawks,1985,6-2,"Wilbur Wright in Dayton, Ohio",Sedric Toney,Point Guard,Right,178lb,225000.0
townska01,"November 15, 1995","Edison, New Jersey",2.6,53.7,39.2,83.6,323,25.0,22.3,11.9,45.4,57.5,University of Kentucky,1st overall,1st round,Minnesota Timberwolves,2015,7-0,"St. Joseph in Metuchen, New Jersey",Karl-Anthony Towns,Center,Right,248lb,17880600.0
traylro01,"February 1, 1977","Detroit, Michigan",0.7,47.4,16.7,57.7,438,14.5,4.8,3.7,13.3,47.5,University of Michigan,6th overall,1st round,Dallas Mavericks,1998,6-8,"Murray-Wright in Detroit, Michigan",Robert Traylor,Power Forward and Center,Right,284lb,11820905.0
trentga01,"September 22, 1974","Columbus, Ohio",1.0,50.1,8.0,64.3,506,15.9,8.6,4.5,23.2,50.1,Ohio University,11th overall,1st round,Milwaukee Bucks,1995,6-8,"Hamilton Township in Columbus, Ohio",Gary Trent,Small Forward and Power Forward and Center,Right,250lb,11406473.0
trepaje01,"July 11, 1979","Los Angeles, California",0.7,33.7,46.2,70.0,31,9.5,2.8,1.4,-0.2,36.6,University of Southern California,36th overall,2nd round,Cleveland Cavaliers,2001,6-4,"Compton in Compton, California",Jeff Trepagnier,Shooting Guard,Left,200lb,971496.0
tripuke01,"February 16, 1959","Glen Ridge, New Jersey",3.0,47.3,36.1,84.9,707,16.2,17.2,3.8,44.4,48.2,University of Notre Dame,12th overall,1st round,Detroit Pistons,1981,6-6,"Bloomfield in Bloomfield, New Jersey",Kelly Tripucka,Small Forward,Right,220lb,5622000.0
tuckeal02,"February 11, 1984","Lockport, Illinois",0.3,42.3,29.4,78.3,51,13.0,4.1,1.0,0.4,45.1,University of Wisconsin,29th overall,1st round,Phoenix Suns,2007,6-6,"Township in Lockport, Illinois",Alando Tucker,Small Forward and Shooting Guard,Right,205lb,3005520.0
tuckepj01,"May 5, 1985","Raleigh, North Carolina",1.4,42.2,36.1,74.4,582,10.9,7.4,5.7,30.0,50.1,University of Texas at Austin,35th overall,2nd round,Toronto Raptors,2006,6-6,"Enloe in Raleigh, North Carolina",P.J. Tucker,Small Forward and Shooting Guard and Power Forward,Right,245lb,26149241.0
tucketr01,"December 20, 1959","Tarboro, North Carolina",2.0,46.1,40.8,75.4,756,12.9,8.2,2.0,34.3,51.2,University of Minnesota,6th overall,1st round,New York Knicks,1982,6-5,"Flint Northwestern in Flint, Michigan",Trent Tucker,Shooting Guard,Right,193lb,3596000.0
turiaro01,"January 13, 1983","Le Robert, Martinique",1.3,53.3,0.0,63.6,473,13.8,4.7,3.7,19.2,53.3,Gonzaga University,37th overall,2nd round,Los Angeles Lakers,2005,6-10,"Institut National du Sport et de l'Education Physique in Paris, France",Ronny Turiaf,Center,Right,249lb,22581156.0
turnean01,"December 13, 1964","Memphis, Tennessee",3.1,42.2,23.7,76.4,170,12.0,4.5,1.5,1.8,43.2,University of Memphis,69th overall,3rd round,Los Angeles Lakers,1986,5-11,"Mitchell in Memphis, Tennessee",Andre Turner,Point Guard,Right,160lb,455000.0
turneel01,"June 10, 1959","Knoxville, Tennessee",1.8,43.2,15.2,71.4,505,9.6,4.7,2.7,8.5,43.3,University of Mississippi,43rd overall,2nd round,Dallas Mavericks,1981,6-5,"Austin-East in Knoxville, Tennessee",Elston Turner,Small Forward and Shooting Guard,Right,190lb,425000.0
turneev01,"October 27, 1988","Chicago, Illinois",3.5,43.5,29.6,78.1,686,12.0,9.9,4.7,20.5,45.6,Ohio State University,2nd overall,1st round,Philadelphia 76ers,2010,6-7,"St. Joseph in Westchester, Illinois",Evan Turner,Small Forward and Shooting Guard and Point Guard,Right,220lb,61751608.0
turneje01,"April 9, 1962","Bangor, Maine",1.0,46.7,34.4,76.9,612,8.4,6.0,3.3,8.9,47.8,Vanderbilt University,17th overall,1st round,New Jersey Nets,1984,6-9,"Brandon in Brandon, Florida",Jeff Turner,Small Forward and Power Forward,Left,230lb,4410000.0
turnejo01,"November 30, 1967","Washington, District of Columbia",0.3,43.9,-,52.5,42,7.8,2.8,1.9,-0.1,43.9,"Georgetown University, Phillips University",20th overall,1st round,Houston Rockets,1991,6-8,"Eleanor Roosevelt in Greenbelt, Maryland",John Turner,Small Forward,Right,245lb,615000.0
turnemy01,"March 24, 1996","Bedford, Texas",1.2,49.5,36.3,77.1,280,17.4,12.9,6.7,22.1,52.6,University of Texas at Austin,11th overall,1st round,Indiana Pacers,2015,6-11,"Trinity in Euless, Texas",Myles Turner,Center,Right,250lb,7391520.0
turpime01,"December 28, 1960","Lexington, Kentucky",0.5,51.6,11.1,77.7,361,14.3,8.5,4.6,13.7,51.6,University of Kentucky,6th overall,1st round,Washington Bullets,1984,6-11,"Bryan Station in Lexington, Kentucky",Melvin Turpin,Center,Right,240lb,1710000.0
tylerbj01,"April 30, 1971","Galveston, Texas",3.2,38.1,31.4,70.0,55,8.5,3.5,1.1,-0.7,42.3,"DePaul University, University of Texas at Austin",20th overall,1st round,Philadelphia 76ers,1994,6-1,"Lincoln in Port Arthur, Texas",B.J. Tyler,Point Guard,Right,185lb,6825000.0
tylerte01,"October 30, 1956","Detroit, Michigan",1.2,48.4,12.2,70.3,871,14.6,10.2,5.4,40.8,48.5,University of Detroit Mercy,23rd overall,2nd round,Detroit Pistons,1978,6-7,"Northwestern in Detroit, Michigan",Terry Tyler,Power Forward and Small Forward,Right,215lb,1710000.0
udohek01,"May 20, 1987","Edmond, Oklahoma",0.7,45.3,0.0,71.8,384,12.0,3.5,2.9,10.4,45.3,"University of Michigan, Baylor University",6th overall,1st round,Golden State Warriors,2010,6-10,"Sante Fe in Edmond, Oklahoma",Ekpe Udoh,Power Forward and Center,Right,245lb,18535512.0
ulisty01,"January 5, 1996","Southfield, Michigan",4.0,40.3,28.0,80.8,133,11.3,7.5,1.7,0.5,43.5,University of Kentucky,34th overall,2nd round,Phoenix Suns,2016,5-10,"Marian Catholic in Chicago Heights, Illinois",Tyler Ulis,Point Guard,Right,160lb,2230980.0
valenda01,"February 3, 1959","Chicago, Illinois",5.0,43.7,26.1,78.7,620,14.0,8.7,2.1,22.1,44.2,University of Kansas,16th overall,1st round,Portland Trail Blazers,1981,6-1,"Wichita Heights in Wichita, Kansas",Darnell Valentine,Shooting Guard and Point Guard,Right,183lb,1340000.0
valende01,"November 16, 1993","Lansing, Michigan",2.3,39.9,37.4,75.4,134,10.6,8.0,4.1,3.1,50.6,Michigan State University,14th overall,1st round,Chicago Bulls,2016,6-6,"Sexton in Lansing, Michigan",Denzel Valentine,Shooting Guard,Right,210lb,4278600.0
vanexni01,"November 27, 1971","Kenosha, Wisconsin",6.6,40.5,35.7,79.4,880,15.8,14.4,2.9,55.9,47.1,"Trinity Valley Community College, University of Cincinnati",37th overall,2nd round,Los Angeles Lakers,1993,6-1,"Saint Joseph's in Kenosha, Wisconsin",Nick Van Exel,Shooting Guard and Point Guard,Left,170lb,74408867.0
vanhoke01,"October 23, 1975","Fullerton, California",1.6,44.3,36.1,83.5,575,16.8,16.0,6.8,41.7,48.2,University of Utah,2nd overall,1st round,Philadelphia 76ers,1997,6-10,"Diamond Bar in Diamond Bar, California",Keith Van Horn,Power Forward and Small Forward,Right,220lb,88860030.0
vandeki01,"August 1, 1958","Wiesbaden, Germany",2.1,52.5,36.8,87.2,810,18.4,19.7,3.4,75.6,53.4,"University of California, Los Angeles",11th overall,1st round,Dallas Mavericks,1980,6-8,"Pacific Palisades in Pacific Palisades, California",Kiki Vandeweghe,Small Forward and Power Forward,Right,220lb,5856750.0
vanosni01,"April 13, 1963","San Mateo, California",0.9,38.3,0.0,56.1,68,7.7,3.3,3.5,-0.1,38.3,Santa Clara University,32nd overall,2nd round,Phoenix Suns,1985,7-1,"Hillsdale in San Mateo, California",Nick Vanos,Center,Right,255lb,125000.0
varnaja01,"March 1, 1988","Fairfax, Virginia",0.4,58.2,-,51.8,37,11.5,2.9,1.9,0.7,58.2,Mississippi State University,41st overall,2nd round,Miami Heat,2010,6-9,"Haywood in Brownsville, Tennessee",Jarvis Varnado,Power Forward,Right,230lb,1173108.0
vasqugr01,"January 16, 1987","Caracas, Venezuela",4.8,41.8,34.9,81.7,401,13.7,9.0,2.5,12.6,48.0,University of Maryland,28th overall,1st round,Memphis Grizzlies,2010,6-6,"Montrose Christian School in Rockville, Maryland",Greivis Vasquez,Point Guard and Shooting Guard,Right,217lb,22838814.0
vaughda02,"March 23, 1973","Tulsa, Oklahoma",0.3,42.3,0.0,63.8,118,10.1,2.9,3.1,0.6,42.3,University of Memphis,25th overall,1st round,Orlando Magic,1995,6-9,"Whites Creek in Whites Creek, Tennessee",David Vaughn,Power Forward,Right,240lb,2291840.0
vaughja01,"February 11, 1975","Los Angeles, California",2.5,42.9,35.2,77.9,776,10.1,4.5,1.3,15.4,44.5,University of Kansas,27th overall,1st round,Utah Jazz,1997,6-1,"John Muir in Pasadena, California",Jacque Vaughn,Shooting Guard and Point Guard,Right,190lb,11259690.0
vaughra01,"August 16, 1996","Minneapolis, Minnesota",0.5,33.7,31.3,69.2,139,5.9,3.0,1.1,-0.6,42.4,"University of Nevada, Las Vegas",17th overall,1st round,Milwaukee Bucks,2015,6-6,"Findlay Prep in Henderson, Nevada",Rashad Vaughn,Shooting Guard,Right,202lb,5599378.0
vaughlo01,"February 27, 1968","Grand Rapids, Michigan",0.9,50.4,24.4,71.8,689,15.4,10.1,7.1,35.8,50.6,University of Michigan,13th overall,1st round,Los Angeles Clippers,1990,6-9,"East Kentwood in Kentwood, Michigan",Loy Vaught,Power Forward,Right,230lb,39759014.0
verhope01,"February 15, 1959","Hanford, California",0.5,50.5,25.0,68.9,282,10.3,3.5,2.3,5.2,50.5,"California State University, Fresno",85th overall,4th round,Portland Trail Blazers,1981,6-9,"Hanford in Hanford, California",Pete Verhoeven,Power Forward,Right,215lb,285000.0
villach01,"August 24, 1984","Queens, New York",0.8,43.5,34.1,77.2,656,16.0,10.4,4.6,22.6,49.4,University of Connecticut,7th overall,1st round,Toronto Raptors,2005,6-11,"Blair Academy in Blairstown, New Jersey",Charlie Villanueva,Power Forward,Right,232lb,51577806.0
vinceja01,"June 10, 1959","Kalamazoo, Michigan",2.0,47.4,14.8,78.4,576,15.9,15.2,5.5,27.5,47.4,Michigan State University,24th overall,2nd round,Dallas Mavericks,1981,6-7,"Eastern in Lansing, Michigan",Jay Vincent,Power Forward and Small Forward,Right,220lb,1356225.0
vincesa01,"May 18, 1963","Lansing, Michigan",3.9,44.9,18.2,86.3,396,14.1,7.8,2.1,10.9,45.2,Michigan State University,20th overall,1st round,Boston Celtics,1985,6-2,"Eastern in Lansing, Michigan",Sam Vincent,Point Guard and Shooting Guard,Right,185lb,4605000.0
vonleno01,"August 24, 1995","Salem, Massachusetts",0.8,45.3,31.6,68.3,299,11.8,5.1,5.4,8.3,48.7,Indiana University,9th overall,1st round,Charlotte Hornets,2014,6-9,"New Hampton School in New Hampton, New Hampshire",Noah Vonleh,Power Forward,Right,250lb,11418513.0
voskuja01,"November 1, 1977","Tulsa, Oklahoma",0.5,48.7,33.3,71.4,450,10.8,4.0,3.4,11.6,48.8,University of Connecticut,33rd overall,2nd round,Chicago Bulls,2000,6-11,"Strake Jesuit College Prepatory in Houston, Texas",Jake Voskuhl,Center,Right,245lb,12321407.0
vraneda01,"October 29, 1958","Salt Lake City, Utah",1.2,49.6,10.5,57.0,510,9.3,5.1,3.9,15.3,49.6,University of Utah,5th overall,1st round,Seattle SuperSonics,1981,6-7,"Skyline in Salt Lake City, Utah",Danny Vranes,Small Forward,Right,210lb,1809000.0
vromaja01,"June 6, 1981","Laguna, California",0.6,40.8,0.0,58.0,87,8.2,3.3,3.0,0.0,40.8,Iowa State University,31st overall,2nd round,Chicago Bulls,2004,6-10,"Viewmont in Bountiful, Utah",Jackson Vroman,Center and Power Forward,Right,220lb,1067328.0
vucevni01,"October 24, 1990","Morges, Switzerland",2.4,50.2,33.2,74.1,536,20.3,15.7,10.1,41.7,51.4,University of Southern California,16th overall,1st round,Philadelphia 76ers,2011,7-0,"Stoneridge Preparatory School in Simi Valley, California",Nikola Vucevic,Center,Right,260lb,43208980.0
wadedw01,"January 17, 1982","Chicago, Illinois",5.4,48.0,29.3,76.5,1054,23.5,22.0,4.7,120.7,49.5,Marquette University,5th overall,1st round,Miami Heat,2003,6-4,"Richards in Oak Lawn, Illinois",Dwyane Wade,Point Guard and Shooting Guard,Right,220lb,196543048.0
wafervo01,"July 21, 1985","Homer, Louisiana",0.7,42.0,32.5,75.1,200,11.8,5.3,1.2,3.3,47.5,Florida State University,39th overall,2nd round,Los Angeles Lakers,2005,6-5,"Heritage Christian Academy in Cleveland, Texas",Von Wafer,Small Forward and Shooting Guard,Right,210lb,2935793.0
wagneda02,"February 4, 1983","Camden, New Jersey",1.9,36.6,32.1,77.0,103,9.9,9.4,1.4,0.0,41.4,University of Memphis,6th overall,1st round,Cleveland Cavaliers,2002,6-2,"Camden in Camden, New Jersey",Dajuan Wagner,Shooting Guard,Right,200lb,8185051.0
wagnemi01,"February 20, 1963","Camden, New Jersey",1.4,42.2,29.6,87.5,53,10.6,4.1,0.7,0.4,44.1,University of Louisville,35th overall,2nd round,Dallas Mavericks,1986,6-5,"Camden in Camden, New Jersey",Milt Wagner,Shooting Guard,Right,185lb,75000.0
waitedi01,"December 10, 1991","Philadelphia, Pennsylvania",2.8,41.2,34.7,69.2,409,12.0,13.2,2.7,8.7,46.8,Syracuse University,4th overall,1st round,Cleveland Cavaliers,2012,6-4,"Burlington Life Center Academy in Burlington, New Jersey",Dion Waiters,Shooting Guard,Right,215lb,30719270.0
waitegr01,"January 8, 1961","Columbus, Ohio",0.5,45.8,0.0,55.9,249,8.3,2.4,2.2,1.9,45.8,Ohio State University,39th overall,2nd round,Portland Trail Blazers,1983,6-11,"East in Columbus, Ohio",Granville Waiters,Center,Right,225lb,325000.0
walkean02,"August 12, 1976","Chicago, Illinois",3.5,41.4,32.5,63.3,893,16.0,17.5,7.7,38.1,46.1,University of Kentucky,6th overall,1st round,Boston Celtics,1996,6-8,"Mount Carmel in Chicago, Illinois",Antoine Walker,Power Forward,Right,224lb,108142015.0
walkeda01,"March 9, 1961","Chicago, Illinois",4.6,43.5,5.9,71.3,720,13.7,8.9,4.4,27.4,43.5,University of Arkansas,12th overall,1st round,New York Knicks,1983,6-4,"Corliss in Chicago, Illinois",Darrell Walker,Point Guard and Shooting Guard,Right,180lb,3355000.0
walkebi01,"October 9, 1987","Huntington, West Virginia",0.8,44.6,36.9,76.0,181,10.8,6.0,2.2,5.0,55.6,Kansas State University,47th overall,2nd round,Washington Wizards,2008,6-6,"North College Hill in Cincinnati, Ohio",Henry Walker,Small Forward and Shooting Guard,Right,220lb,2248345.0
walkeke02,"May 8, 1990","The Bronx, New York",5.5,41.8,35.7,83.5,605,19.3,19.8,3.8,48.5,48.2,University of Connecticut,9th overall,1st round,Charlotte Bobcats,2011,6-1,"Rice in New York, New York",Kemba Walker,Point Guard,Right,184lb,46729731.0
walkeke01,"August 18, 1964","Roberta, Georgia",0.7,48.5,20.6,74.9,448,11.9,7.0,4.0,17.9,48.7,University of Kentucky,5th overall,1st round,New York Knicks,1986,6-8,"Crawford County in Roberta, Georgia",Kenny Walker,Power Forward and Small Forward,Right,210lb,2660000.0
walkesa01,"February 25, 1976","Columbus, Ohio",0.6,46.2,11.1,63.0,445,12.7,5.3,4.7,14.2,46.2,University of Louisville,9th overall,1st round,Dallas Mavericks,1996,6-9,"Whitehall in Columbus, Ohio",Samaki Walker,Power Forward and Center,Right,240lb,15974856.0
walljo01,"September 6, 1990","Raleigh, North Carolina",9.2,43.3,32.4,78.1,573,19.4,19.0,4.3,44.3,46.2,University of Kentucky,1st overall,1st round,Washington Wizards,2010,6-4,"Word of God Academy in Raleigh, North Carolina",John Wall,Point Guard,Right,210lb,89669865.0
wallage01,"July 23, 1982","Sylacauga, Alabama",2.1,46.9,31.2,70.9,832,16.3,11.9,5.8,59.7,49.6,University of Alabama,25th overall,1st round,Sacramento Kings,2001,6-7,"Childersburg in Childersburg, Alabama",Gerald Wallace,Small Forward and Power Forward,Right,215lb,102825613.0
wallajo01,"February 9, 1974","Rochester, New York",0.7,46.2,30.0,74.0,381,14.0,7.6,2.8,6.4,46.5,Syracuse University,18th overall,1st round,New York Knicks,1996,6-8,"Greece Athena in Rochester, New York",John Wallace,Small Forward,Right,225lb,10352799.0
wallara01,"September 17, 1974","Philadelphia, Pennsylvania",1.8,46.7,33.6,72.1,1109,17.0,14.4,6.7,105.1,50.7,University of North Carolina,4th overall,1st round,Washington Bullets,1995,6-10,"Simon Gratz in Philadelphia, Pennsylvania",Rasheed Wallace,Center and Power Forward,Right,225lb,158110581.0
princta02,"March 22, 1994","San Marcos, Texas",2.0,42.7,38.0,82.3,196,12.0,11.4,3.8,4.6,51.6,Baylor University,12th overall,1st round,Utah Jazz,2016,6-8,"Earl Warren in San Antonio, Texas",Taurean Prince,Small Forward,Right,220lb,4740840.0
waltere01,"March 12, 1970","Omaha, Nebraska",1.7,44.1,36.1,80.9,335,11.2,4.6,1.2,6.3,51.4,"Northwestern University, University of Kansas",16th overall,1st round,New Jersey Nets,1993,6-4,"Independence in San Jose, California",Rex Walters,Point Guard and Shooting Guard,Left,190lb,8462500.0
waltobi01,"November 5, 1952","La Mesa, California",3.4,52.1,0.0,66.0,468,20.0,13.3,10.5,39.3,52.1,"University of California, Los Angeles",1st overall,1st round,Portland Trail Blazers,1974,6-11,"Helix in La Mesa, California",Bill Walton,Center,Right,210lb,2625000.0
waltolu01,"March 28, 1980","San Diego, California",2.3,42.9,32.6,71.5,564,11.7,4.7,2.8,13.5,46.6,University of Arizona,32nd overall,2nd round,Los Angeles Lakers,2003,6-8,"University in San Diego, California",Luke Walton,Power Forward and Small Forward,Right,235lb,33903340.0
wardch01,"October 12, 1970","Thomasville, Georgia",4.0,40.8,36.4,77.1,630,13.8,6.3,2.6,33.0,50.2,Florida State University,26th overall,1st round,New York Knicks,1994,6-2,"Thomasville Central in Thomasville, Georgia",Charlie Ward,Point Guard,Right,190lb,34300500.0
warretj01,"September 5, 1993","Durham, North Carolina",1.1,49.7,34.0,76.6,261,16.2,14.4,4.1,13.0,52.2,North Carolina State University,14th overall,1st round,Phoenix Suns,2014,6-8,"Brewster Academy in Wolfeboro, New Hampshire",T.J. Warren,Small Forward,Right,215lb,9276051.0
warrewi01,"October 22, 1989","Dallas, Texas",1.4,37.1,33.3,75.0,19,10.8,1.9,0.6,0.2,44.3,University of Oklahoma,54th overall,2nd round,Los Angeles Clippers,2010,6-4,"North Crowley in Fort Worth, Texas",Willie Warren,Point Guard,Right,203lb,500000.0
warribr01,"July 22, 1959","Moses Lake, Washington",2.6,44.3,20.8,74.7,169,9.0,4.0,1.3,1.6,44.7,Saint Joseph's University,25th overall,2nd round,Washington Bullets,1982,6-5,"Township in Burlington, New Jersey",Bryan Warrick,Point Guard,Right,195lb,110000.0
warriha01,"July 8, 1982","Philadelphia, Pennsylvania",0.8,49.0,19.1,72.6,526,15.5,9.4,4.0,20.4,49.3,Syracuse University,19th overall,1st round,Memphis Grizzlies,2005,6-9,"Friends Central in Wynnewood, Pennsylvania",Hakim Warrick,Power Forward,Right,219lb,21227942.0
washbch01,"May 13, 1965","Hickory, North Carolina",0.3,41.2,0.0,43.9,72,7.6,3.1,2.4,-0.6,41.2,North Carolina State University,3rd overall,1st round,Golden State Warriors,1986,6-11,"Laurinburg Institute in Laurinburg, North Carolina",Chris Washburn,Center,Right,225lb,1257200.0
washidu01,"August 31, 1964","Eschwege, Germany",2.1,38.3,50.0,80.0,19,13.4,2.8,1.3,0.4,40.4,Middle Tennessee State University,36th overall,2nd round,Washington Bullets,1987,6-4,"Parkview in Little Rock, Arkansas",Duane Washington,Shooting Guard,Right,195lb,75000.0
washier01,"March 23, 1974","Pearl, Mississippi",1.0,40.2,34.6,75.7,104,9.5,6.9,2.1,0.1,46.1,University of Alabama,46th overall,2nd round,Orlando Magic,1997,6-4,"Pearl in Pearl, Mississippi",Eric Washington,Shooting Guard,Right,190lb,1312000.0
washipe01,"January 6, 1964","Brooklyn, New York",3.8,45.2,18.4,74.6,194,12.4,8.6,1.9,1.9,45.8,Syracuse University,13th overall,1st round,New Jersey Nets,1986,6-2,"Boys and Girls in Brooklyn, New York",Pearl Washington,Point Guard,Right,190lb,645000.0
watsoea01,"June 12, 1979","Kansas City, Kansas",4.4,41.1,32.4,70.3,878,12.1,6.4,2.3,19.2,46.0,"University of California, Los Angeles",40th overall,2nd round,Seattle SuperSonics,2001,6-1,"Washington in Kansas City, Kansas",Earl Watson,Point Guard,Right,195lb,42771079.0
watsoja01,"February 23, 1972","Elm City, North Carolina",1.1,46.8,31.6,69.4,102,9.2,3.2,1.5,1.2,49.1,University of South Carolina,47th overall,2nd round,Utah Jazz,1994,6-7,"Wilson Fike in Wilson, North Carolina",Jamie Watson,Small Forward,Right,190lb,2400000.0
weathcl01,"September 8, 1970","Crawford, Mississippi",1.5,47.1,19.6,74.3,915,15.6,11.5,7.5,58.4,47.2,University of Southern Mississippi,9th overall,1st round,Philadelphia 76ers,1992,6-6,"Motley in Columbus, Mississippi",Clarence Weatherspoon,Small Forward and Power Forward,Right,240lb,37193000.0
weaveky01,"February 18, 1986","Janesville, Wisconsin",1.6,44.1,35.3,73.6,73,10.3,5.0,2.2,1.5,51.0,Washington State University,38th overall,2nd round,Charlotte Bobcats,2008,6-6,"Beloit Memorial in Beloit, Wisconsin",Kyle Weaver,Shooting Guard,Right,201lb,1677420.0
webbsp01,"July 13, 1963","Dallas, Texas",5.3,45.2,31.4,84.8,814,15.1,9.9,2.1,40.2,47.7,"Midland College, North Carolina State University",87th overall,4th round,Detroit Pistons,1985,5-6,"Wilmer-Hutchins in Dallas, Texas",Spud Webb,Point Guard,Right,133lb,8395600.0
webbech01,"March 1, 1973","Detroit, Michigan",4.2,47.9,29.9,64.9,831,20.9,20.7,9.8,84.7,48.7,University of Michigan,1st overall,1st round,Orlando Magic,1993,6-9,"Detroit Country Day School in Beverly Hills, Michigan",Chris Webber,Center and Power Forward,Right,245lb,178230697.0
webstma01,"April 13, 1952","Baltimore, Maryland",1.2,48.8,28.6,62.1,617,13.8,7.0,6.8,29.4,48.8,Morgan State University,3rd overall,1st round,Atlanta Hawks,1975,7-1,"Edmondson in Baltimore, Maryland",Marvin Webster,Center,Right,225lb,900000.0
wedmasc01,"July 29, 1952","Harper, Kansas",2.0,48.1,33.5,79.4,906,14.2,13.2,4.8,53.7,48.5,University of Colorado,6th overall,1st round,Kansas City-Omaha Kings,1974,6-7,"Mullen in Denver, Colorado",Scott Wedman,Small Forward,Right,215lb,800000.0
weemsso01,"July 8, 1986","West Memphis, Arkansas",1.4,46.5,28.3,70.2,183,10.1,6.5,2.2,0.0,48.0,University of Arkansas,39th overall,2nd round,Chicago Bulls,2008,6-6,"West Memphis in West Memphis, Arkansas",Sonny Weems,Shooting Guard and Small Forward,Right,205lb,4832923.0
wellsbo01,"September 28, 1976","Muncie, Indiana",2.1,46.0,32.7,69.7,591,16.1,12.1,4.6,29.4,47.9,Ball State University,11th overall,1st round,Detroit Pistons,1998,6-5,"Muncie Central in Muncie, Indiana",Bonzi Wells,Small Forward and Shooting Guard,Right,210lb,39484599.0
wellsbu01,"July 26, 1974","Russellville, Kentucky",0.9,41.4,16.7,72.1,39,11.1,3.3,1.7,0.1,41.8,Austin Peay State University,34th overall,2nd round,Dallas Mavericks,1997,6-5,"Russellville in Russellville, Kentucky",Bubba Wells,Shooting Guard,Right,230lb,572000.0
welpch01,"January 2, 1964","Delmenhorst, Germany",0.4,44.6,0.0,68.1,109,8.7,3.3,2.4,1.0,44.6,University of Washington,16th overall,1st round,Philadelphia 76ers,1987,7-0,"Olympic in Silverdale, Washington",Chris Welp,Center,Left,245lb,525000.0
wennibi01,"April 26, 1963","Montreal, Canada",0.6,45.9,13.9,78.7,720,10.9,4.6,3.0,17.7,46.0,St. John's University,16th overall,1st round,Dallas Mavericks,1985,7-0,"Long Island Lutheran in Brookville, New York",Bill Wennington,Center,Right,245lb,7900000.0
